category,item,original_paper_correspondence,location,format,showcase_use
paper_evidence,page_08_preview,"Tables I-IV, case-study setup","artifacts/pdf_previews/page_08.pdf.png","image","show original benchmark and extracted evidence"
paper_evidence,page_09_preview,"Table V, Fig. 4, Table VI","artifacts/pdf_previews/page_09.pdf.png","image","show cases A-C and result anchors"
paper_evidence,page_10_preview,"Fig. 5 and convergence discussion","artifacts/pdf_previews/page_10.pdf.png","image","show convergence claim and solver note"
paper_text,extracted_text,"full paper text extraction","extracted_text/paper_text.json","json","searchable text source"
paper_audit,reproducibility_audit,"screening verdict and blockers","audits/reproducibility_audit.md","markdown","show whether the paper is reproducible"
paper_model_spec,model_spec,"variables, constraints, objective","artifacts/model_spec.md","markdown","show extracted model structure"
paper_trace,algorithm_trace,"implementation path and mappings","artifacts/algorithm_trace.md","markdown","show algorithm-to-code bridge"
paper_trace,source_trace,"data dependencies and missing pieces","artifacts/source_trace.md","markdown","show source-tracing questions"
benchmark_data,wind_profile,"Fig. 3 wind scenario reconstruction","data/wind_profile.csv","csv","show reconstructed uncertainty input"
benchmark_data,scenario_probabilities,"Table IV correspondence","data/scenario_probabilities.csv","csv","show scenario weights"
benchmark_data,load_factors,"Table III correspondence","data/load_factors.csv","csv","show hourly load scaling"
benchmark_data,table_vi_commitment,"Table VI / Fig. 4 correspondence","results/paper_style_results/table_vi_commitment.csv","csv","show case A-B-C comparisons"
benchmark_data,table_v_summary,"Table V correspondence","results/paper_style_results/table_v_summary.csv","csv","show mathematical characteristics by case"
benchmark_data,fig4_generation_schedule,"Fig. 4 style schedule plot","results/paper_style_figures/fig4_generation_schedule.png","image","show commitment / dispatch behavior"
benchmark_data,fig5_benders_convergence,"Fig. 5 style convergence plot","results/paper_style_figures/fig5_benders_convergence.png","image","show 25-iteration convergence with gap decline"
benchmark_data,paper_vs_reproduction_comparison,"Table VI plus stage summary","results/paper_style_figures/paper_vs_reproduction_comparison.png","image","show original-vs-current comparison"
solver_artifact,case_a_dc_uc_results,"Case A dc-UC baseline","results/case_a_dc_uc/","csv/json/md","show deterministic baseline"
solver_artifact,ac_nlp_subproblem,"AC recourse solve traces","results/ac_nlp_subproblem/","csv/json/md","show solver-level details"
solver_artifact,benders_cuts,"cut pool and coefficients","results/benders_cuts/","csv/md/txt","show decomposition mechanics"
solver_artifact,benders_loops,"iteration logs and loop reports","results/benders_auto_loop*/","csv/json/md","show convergence workflow"
toolchain,src_modules,"local reusable implementation modules","runs/nasri_2016_ac_uc_benders/src/*.py","python","show code framework"
toolchain,repro_cli,"script-first orchestration entrypoint","tools/repro_cli.py","python","show end-to-end pipeline entry"
toolchain,llm_client,"LLM JSON API wrapper with Codex fallback","tools/llm_client.py","python","show non-agent LLM integration"
toolchain,repro_scaffold,"data/template/workspace generator","tools/repro_scaffold.py","python","show reusable scaffolding"
toolchain,obsidian_export,"note bundle writer","tools/obsidian.py","python","show knowledge-archive export"
