component,component_id,hour,lower_multiplier,upper_multiplier,source_type_cn,paper_basis_cn,needs_user_confirm,source_note
load,system,1,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,2,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,3,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,4,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,5,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,6,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,7,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,8,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,9,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,10,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,11,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,12,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,13,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,14,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,15,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,16,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,17,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,18,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,19,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,20,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
load,system,21,0.97,1.03,论文规则重建/待确认,按当前材料中的 +/-3% 负荷边界登记为候选；若最终模型只保留风电不确定性，可删除此行。,是,由阶段二对话生成的候选边界，不覆盖正式数据表。
